"Id";"Nome";"Tipo";"Unidade";"Mín";"Máx";"Padrão";"Dígitos dec.";"Valor";"Somente Leitura";"Comparação";"Descrição"
"P0241";"PAR_0241";"WORD";"";"0: Ref. Veloc.";"15: Função 8 Aplicação";"0: Ref. Veloc.";"0";"0: Ref. Veloc.";"";"";"Função do Sinal AI3"
"P0242";"PAR_0242";"WORD";"";"0.000";"9.999";"1.000";"3";"1.000";"";"";"Ganho da Entrada AI3"
"P0243";"PAR_0243";"WORD";"";"0: 0 a 10V/20mA";"4: -10 a +10V";"0: 0 a 10V/20mA";"0";"0: 0 a 10V/20mA";"";"";"Sinal da Entrada AI3"
"P0244";"PAR_0244";"WORD";"%";"-100.0";"100.0";"0.0";"1";"0.0";"";"";"Offset da Entrada AI3"
"P0245";"PAR_0245";"WORD";"s";"0.00";"16.00";"0.00";"2";"0.00";"";"";"Filtro da Entrada AI3"
"P0246";"PAR_0246";"WORD";"";"0: Inativa";"1: Ativa";"0: Inativa";"0";"0: Inativa";"";"";"Entrada em Freq. FI"
"P0247";"PAR_0247";"WORD";"";"0.000";"9.999";"1.000";"3";"1.000";"";"";"Ganho da Entrada FI"
"P0248";"PAR_0248";"WORD";"Hz";"10";"20000";"10";"0";"10";"";"";"Entrada FI Mínima"
"P0249";"PAR_0249";"WORD";"%";"-100.0";"100.0";"0.0";"1";"0.0";"";"";"Offset da Entrada FI"
"P0250";"PAR_0250";"WORD";"Hz";"10";"20000";"10000";"0";"10000";"";"";"Entrada FI Máxima"
"P0251";"PAR_0251";"WORD";"";"0: Ref. Veloc.";"28: Função 8 Aplicação";"2: Veloc. Real";"0";"2: Veloc. Real";"";"";"Função da Saída AO1"
"P0252";"PAR_0252";"WORD";"";"0.000";"9.999";"1.000";"3";"1.000";"";"";"Ganho da Saída AO1"
"P0253";"PAR_0253";"WORD";"";"0: 0 a 10V";"5: 20 a 4 mA";"0: 0 a 10V";"0";"0: 0 a 10V";"";"";"Sinal da Saída AO1"
"P0254";"PAR_0254";"WORD";"";"0: Ref. Veloc.";"28: Função 8 Aplicação";"5: Corrente Saída";"0";"5: Corrente Saída";"";"";"Função da Saída AO2"
"P0255";"PAR_0255";"WORD";"";"0.000";"9.999";"1.000";"3";"1.000";"";"";"Ganho da Saída AO2"
"P0256";"PAR_0256";"WORD";"";"0: 0 a 10V";"5: 20 a 4 mA";"0: 0 a 10V";"0";"0: 0 a 10V";"";"";"Sinal da Saída AO2"
"P0257";"PAR_0257";"WORD";"";"0: Ref. Veloc.";"28: Função 8 Aplicação";"15: Desabilita FO";"0";"15: Desabilita FO";"";"";"Função da Saída FO"
